Adelaide,Albany,Albury,AliceSprings,BadgerysCreek,Ballarat,Bendigo,Brisbane,Cairns,Canberra,Cobar,CoffsHarbour,Dartmoor,Darwin,GoldCoast,Hobart,Launceston,Melbourne,MelbourneAirport,Mildura,Moree,MountGambier,MountGinini,Newcastle,NorahHead,NorfolkIsland,Nuriootpa,PearceRAAF,Penrith,Perth,PerthAirport,Portland,Richmond,Sale,SalmonGums,Sydney,SydneyAirport,Townsville,Tuggeranong,WaggaWagga,Walpole,Watsonia,Williamtown,Witchcliffe,Wollongong,Woomera
0.0,0.3,0.5555555555555556,0.19999999999999998,0.022222222222222223,2.0,1.4888888888888887,1.822222222222222,21.066666666666666,0.022222222222222223,0.24444444444444446,0.15,0.325,17.46666666666667,5.533333333333334,0.5777777777777777,0.0,1.325,1.6,0.24444444444444446,0.15,0.24444444444444446,2.2888888888888888,0.05,0.275,7.949999999999999,0.0,0.0,0.0,0.0,0.0,0.24444444444444446,0.08888888888888889,0.24444444444444446,1.6,0.044444444444444446,0.022222222222222223,4.044444444444445,0.044444444444444446,0.0,0.37777777777777777,3.2666666666666666,0.0,0.26666666666666666,0.022222222222222223,0.0
0.55,0.3,1.488888888888889,2.533333333333333,0.0,1.0666666666666667,0.15555555555555556,0.4444444444444444,12.2,0.52,0.3333333333333333,0.225,2.125,28.866666666666667,2.075,4.044444444444444,0.4444444444444444,1.3,1.4888888888888887,0.6222222222222222,2.7714285714285714,1.822222222222222,1.1555555555555557,4.428571428571429,1.4,0.275,0.25555555555555554,0.0,0.34285714285714286,0.044444444444444446,0.13333333333333333,1.2666666666666666,0.2222222222222222,0.9333333333333333,0.1111111111111111,0.044444444444444446,0.13333333333333333,1.911111111111111,1.2666666666666666,2.3333333333333335,0.125,2.111111111111111,3.9499999999999997,0.08888888888888889,0.15555555555555556,0.044444444444444446
0.1111111111111111,0.125,0.2666666666666667,0.0,1.088888888888889,0.022222222222222223,0.0,11.622222222222222,4.199999999999999,0.0,0.0,0.9375,0.0,13.355555555555556,4.555555555555555,0.06666666666666668,0.0,0.125,0.06666666666666667,0.022222222222222223,5.35,0.0,1.2888888888888888,3.225,2.925,0.9555555555555557,0.1111111111111111,0.0,2.025,0.0,0.0,0.06666666666666668,3.4444444444444446,1.4666666666666666,0.044444444444444446,1.8888888888888888,1.8444444444444446,8.155555555555557,0.4,0.044444444444444446,0.06666666666666668,0.025,1.8222222222222224,0.0,4.511111111111111,0.0
0.06666666666666667,0.375,1.7333333333333334,0.022222222222222223,0.6222222222222222,1.3777777777777775,0.9777777777777779,5.733333333333333,13.577777777777776,0.16,0.0,1.45,0.175,18.51111111111111,5.666666666666667,1.5111111111111113,0.6666666666666666,1.0571428571428572,0.4444444444444444,3.2,2.75,0.1111111111111111,1.0,6.95,2.05,0.911111111111111,0.13333333333333333,0.0,2.5749999999999997,0.5333333333333333,0.26666666666666666,0.17777777777777776,1.4,0.5111111111111111,0.0,2.2444444444444445,1.0222222222222221,12.533333333333335,0.6000000000000001,0.0,0.35555555555555557,0.8444444444444444,5.177777777777778,0.022222222222222223,2.2666666666666666,0.0
0.0,0.022222222222222223,0.8,0.3333333333333333,1.775,0.0,0.5333333333333333,0.0,6.4,1.8399999999999999,0.1111111111111111,0.525,0.0,9.933333333333334,2.533333333333333,0.1111111111111111,0.0,0.028571428571428574,0.022222222222222223,0.6888888888888889,4.977777777777778,0.0,2.1555555555555554,3.255555555555555,2.275,0.9777777777777779,0.0,0.022222222222222223,6.025,0.3111111111111111,0.5111111111111111,0.044444444444444446,7.333333333333333,0.8888888888888888,0.06666666666666667,4.4,6.2666666666666675,1.0666666666666667,3.8666666666666663,0.24444444444444446,0.0,0.15555555555555556,2.822222222222222,0.2222222222222222,6.177777777777778,0.0
0.3111111111111111,2.45,1.422222222222222,0.13333333333333336,1.2666666666666666,0.3333333333333333,0.0,8.225,7.311111111111111,3.1,0.7111111111111111,17.95,0.925,10.2,5.444444444444445,1.0444444444444445,0.8888888888888888,0.19999999999999998,0.044444444444444446,0.0,1.0,0.9333333333333333,1.1333333333333333,1.2,10.875,1.5333333333333334,0.03333333333333333,0.6666666666666666,11.675,1.511111111111111,1.7777777777777777,1.45,9.355555555555556,0.3111111111111111,6.6000000000000005,6.800000000000001,5.422222222222222,4.199999999999999,2.7333333333333334,1.0,4.6,0.13333333333333336,29.775,0.44999999999999996,3.3111111111111113,0.022222222222222223
0.022222222222222223,3.075,0.0,3.822222222222222,0.13333333333333333,0.0,0.0,11.11111111111111,6.377777777777777,0.08,0.5555555555555556,7.6499999999999995,0.0,6.0,6.866666666666667,0.225,0.13333333333333333,0.0,0.022222222222222223,0.0,0.26666666666666666,0.2222222222222222,2.6444444444444444,0.0,4.6,0.3,0.0,0.0,3.125,0.6,0.7777777777777778,0.2222222222222222,1.9777777777777779,0.022222222222222223,0.0,5.933333333333334,5.955555555555555,5.4222222222222225,0.08888888888888889,0.022222222222222223,1.0,0.0,6.05,0.35,3.022222222222222,0.06666666666666667
1.7777777777777777,0.08888888888888888,0.6222222222222222,12.866666666666667,1.3142857142857143,1.6444444444444444,0.6000000000000001,1.7333333333333334,10.422222222222222,0.4,0.022222222222222223,2.0,0.34285714285714286,7.977777777777778,0.85,0.911111111111111,0.8111111111111111,0.0,0.37777777777777777,1.0444444444444445,1.7249999999999999,0.5777777777777778,0.6000000000000001,0.08571428571428572,1.075,1.975,0.9333333333333333,0.0,0.6,0.022222222222222223,0.06666666666666668,0.6000000000000001,0.8222222222222223,0.044444444444444446,0.0,1.4666666666666666,0.6666666666666666,3.888888888888889,0.3111111111111111,0.044444444444444446,0.07500000000000001,1.5333333333333334,0.07500000000000001,0.0,3.2666666666666666,0.5777777777777778
0.8666666666666666,0.15555555555555556,1.0222222222222221,16.77777777777778,1.2857142857142858,1.075,0.45,1.844444444444444,0.8444444444444444,1.2888888888888888,0.0,3.325,1.1,3.9777777777777774,1.7,2.0222222222222226,1.0666666666666667,1.9999999999999998,0.6000000000000001,1.6666666666666667,0.0,0.9777777777777779,1.075,0.34285714285714286,1.9777777777777779,1.6888888888888889,0.6333333333333333,0.0,2.422222222222222,0.0,0.0,2.3,3.5999999999999996,3.8499999999999996,0.0,4.6000000000000005,2.2,2.3111111111111113,0.3333333333333333,0.3111111111111111,0.028571428571428574,1.975,0.5,0.0,3.5333333333333337,1.3555555555555554
1.1111111111111112,0.17777777777777776,6.0,5.422222222222222,1.088888888888889,1.7333333333333334,7.800000000000001,12.488888888888889,18.555555555555557,2.3777777777777778,0.6888888888888889,3.4,0.42500000000000004,11.044444444444444,2.9555555555555557,0.06666666666666667,0.0,0.22857142857142856,1.288888888888889,1.8444444444444446,1.1333333333333333,0.15555555555555556,4.5,0.6,0.35555555555555557,5.0888888888888895,1.488888888888889,0.0,1.5777777777777777,0.0,0.0,0.4666666666666667,1.5777777777777777,1.2222222222222223,0.48888888888888893,0.7111111111111111,0.8,6.911111111111111,3.711111111111111,3.5555555555555554,0.125,1.5777777777777777,0.175,0.0,1.822222222222222,7.377777777777778
